img_num,time,intensity,avg_baseline,scaled,filename,condition,PYO,objective,resolution,bleach,id
137,30.7837,125.754,127.3667778,0.987337532,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
138,30.9912,126.204,127.3667778,0.990870635,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
139,31.1987,126.212,127.3667778,0.990933446,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
140,31.3903,125.436,127.3667778,0.984840805,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
141,31.582,125.62,127.3667778,0.986285452,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
142,31.7736,125.901,127.3667778,0.988491679,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
143,31.9652,125.466,127.3667778,0.985076346,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
144,32.1569,124.949,127.3667778,0.981017202,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
145,32.3326,125.828,127.3667778,0.987918531,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
146,32.5242,125.912,127.3667778,0.988578044,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
147,32.7158,125.969,127.3667778,0.98902557,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
148,32.9075,125.104,127.3667778,0.98223416,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
149,33.0832,125.367,127.3667778,0.984299063,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
150,33.2907,125.836,127.3667778,0.987981342,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
151,33.4982,126.44,127.3667778,0.992723552,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
152,33.7058,126.033,127.3667778,0.989528056,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
153,33.9133,126.169,127.3667778,0.990595838,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
